clase,nombre_comun,nombre_cientifico,familia,parte_usada,usos_tradicionales,principios_activos,contraindicaciones,fuente
Punica granatum (Pomoegranate),Pomoegranate,Punica granatum,,,,,,Herbify / Kaggle ai4a-lab/herb-plant-classification-dataset
Ricinus communis (Castor),Castor,Ricinus communis,,,,,,Herbify / Kaggle ai4a-lab/herb-plant-classification-dataset
Rosa rubiginosa (Rose),Rose,Rosa rubiginosa,,,,,,Herbify / Kaggle ai4a-lab/herb-plant-classification-dataset
Santalum Album (Sandalwood),Sandalwood,Santalum Album,,,,,,Herbify / Kaggle ai4a-lab/herb-plant-classification-dataset
Saraca asoca (Ashoka),Ashoka,Saraca asoca,,,,,,Herbify / Kaggle ai4a-lab/herb-plant-classification-dataset
Spinacia oleracea (Palak(Spinach)),Palak(Spinach),Spinacia oleracea,,,,,,Herbify / Kaggle ai4a-lab/herb-plant-classification-dataset
Syzygium Jambos (Rose Apple),Rose Apple,Syzygium Jambos,,,,,,Herbify / Kaggle ai4a-lab/herb-plant-classification-dataset
Syzygium cumini (Nerale),Nerale,Syzygium cumini,,,,,,Herbify / Kaggle ai4a-lab/herb-plant-classification-dataset
Tabernaemontana Divaricata (Crape Jasmine),Crape Jasmine,Tabernaemontana Divaricata,,,,,,Herbify / Kaggle ai4a-lab/herb-plant-classification-dataset
Tamarindus indica (Tamarind),Tamarind,Tamarindus indica,,,,,,Herbify / Kaggle ai4a-lab/herb-plant-classification-dataset
Tinospora cordifolia (Amruthaballi),Amruthaballi,Tinospora cordifolia,,,,,,Herbify / Kaggle ai4a-lab/herb-plant-classification-dataset
Wrightia tinctoria (Badipala),Badipala,Wrightia tinctoria,,,,,,Herbify / Kaggle ai4a-lab/herb-plant-classification-dataset
